Timestamp,Gender,Age,Income Level,Social Media Usage,Previous Activism Participation,1- What is your primary source of information about Gaza?,2- How would you rate the overall awareness level regarding the boycotting of certain products to support Gaza?,3- Do you verify about the information about product's ties to Israel before boycotting?,4-  To what extent do you believe your understanding of the situation in Gaza is informed and accurate?,5-  How confident are you in recognizing brands or products that have ties to Israel in your day-to-day life?,1-  How frequently do you come across information about the situation in Gaza on your social media platforms? ,2- Have you ever participated in discussions or shared content related to boycotting Israeli products on social media?,3- To what extent do recommendations or information from social media impact your decision to boycott certain products?,4- What motivates your decision to support or boycott a product related to the Israeli-Palestinian conflict?,5-  Do you follow specific social media accounts or groups that provide information about boycotting products in solidarity with Gaza?,1- Do you take into account the economic consequences on companies when deciding to boycott certain products in support of Gaza?,2- Do you believe that choosing local products during the boycott can encourage the start of new local businesses?,3- Do you think the local workers are also being effected by the boycotts of restaurants or products related to Israel?,4-  To what extent do you believe that consumer boycotts impact the overall economy of Israel?,"5-  In your view, what role should the government play in regulating or supporting consumer boycotts against Israeli products in Pakistan?"
12/3/2023 7:39:38,Female,16-24 Years,"Less than 30,000 PKR per month",5-6 hours per day,Actively Involved,Social media platforms,High,Always verify before boycotting,Very informed and accurate,Confident,Multiple times a day,"Yes, frequently",Strongly influence,Humanitarian concerns,Yes,Always,Yes,Yes,Strongly influences,Actively support and regulate
12/3/2023 7:42:55,Male,16-24 Years,"30,000 - 59,999 PKR per month",5-6 hours per day,Occasionally Involved,Social media platforms,High,Often verify before boycotting,Neutral,Confident,Multiple times a day,"Yes, occasionally",Strongly influence,Humanitarian concerns,Yes,Often,Somewhat,Unsure,Minimally influences,Actively support and regulate
12/3/2023 8:04:12,Male,16-24 Years,"Less than 30,000 PKR per month",3-4 hours per day,Occasionally Involved,Social media platforms,Moderate,Rarely verify before boycotting,Somewhat informed and accurate,Confident,Multiple times a day,"Yes, occasionally",Moderately influence,Humanitarian concerns,No,Occasionally,Yes,Yes,Minimally influences,Actively support and regulate
12/3/2023 8:08:59,Male,16-24 Years,"30,000 - 59,999 PKR per month",3-4 hours per day,Actively Involved,Social media platforms,High,Often verify before boycotting,Somewhat informed and accurate,Confident,Multiple times a day,"Yes, occasionally",Strongly influence,Humanitarian concerns,No,Often,Yes,Maybe,Somewhat influences,Actively support and regulate
12/3/2023 8:23:03,Female,16-24 Years,"Less than 30,000 PKR per month",3-4 hours per day,No Previous Involvement,Social media platforms,Very High,Always verify before boycotting,Somewhat informed and accurate,Confident,Multiple times a day,"Yes, occasionally",Strongly influence,Humanitarian concerns,Yes,Always,Somewhat,Yes,Strongly influences,Actively support and regulate
12/3/2023 9:06:28,Female,16-24 Years,"Less than 30,000 PKR per month",5-6 hours per day,Occasionally Involved,Social media platforms,Moderate,Rarely verify before boycotting,Very informed and accurate,Neutral,Multiple times a day,I have no opinion,Moderately influence,Humanitarian concerns,No,Often,Yes,Maybe,Somewhat influences,Actively discourage and regulate
12/3/2023 9:09:47,Male,16-24 Years,"Less than 30,000 PKR per month",1-2 hours per day,Actively Involved,Social media platforms,High,Occasionally verify before boycotting,Somewhat informed and accurate,Not very confident,Several times a week,I have no opinion,Slightly influence,Humanitarian concerns,No,Rarely,No,Yes,Neutral,Remain neutral
12/3/2023 9:11:04,Female,16-24 Years,"Less than 30,000 PKR per month",5-6 hours per day,No Previous Involvement,Social media platforms,Moderate,Occasionally verify before boycotting,Somewhat informed and accurate,Not very confident,Once a day,"No, but I support the cause",Strongly influence,Humanitarian concerns,No,Often,Yes,Maybe,Somewhat influences,Actively support and regulate
12/3/2023 9:12:42,Male,16-24 Years,"60,000 - 99,999 PKR per month",3-4 hours per day,No Previous Involvement,Social media platforms,Very High,Always verify before boycotting,Somewhat informed and accurate,Confident,Multiple times a day,"No, but I support the cause",Moderately influence,Humanitarian concerns,Yes,Always,Somewhat,Unsure,Somewhat influences,Support but not regulate
12/3/2023 9:16:01,Female,16-24 Years,"60,000 - 99,999 PKR per month",5-6 hours per day,Previously Involved,Social media platforms,Low,Often verify before boycotting,Neutral,Not very confident,Multiple times a day,"No, I do not support the cause",Moderately influence,Humanitarian concerns,No,Never,No,Unsure,Somewhat influences,Actively support and regulate
12/3/2023 9:16:15,Male,16-24 Years,"Less than 30,000 PKR per month",5-6 hours per day,No Previous Involvement,News websites and portals,Moderate,Occasionally verify before boycotting,Somewhat informed and accurate,Confident,Rarely or never,I have no opinion,Do not influence,Political beliefs,No,Never,Yes,Yes,Somewhat influences,Remain neutral
12/3/2023 9:22:12,Female,16-24 Years,"Less than 30,000 PKR per month",1-2 hours per day,Occasionally Involved,Social media platforms,High,Always verify before boycotting,Very informed and accurate,Confident,Multiple times a day,"Yes, frequently",Strongly influence,Humanitarian concerns,Yes,Always,Yes,Yes,Strongly influences,Actively support and regulate
12/3/2023 9:27:47,Male,16-24 Years,"60,000 - 99,999 PKR per month",1-2 hours per day,No Previous Involvement,Social media platforms,Very High,Always verify before boycotting,Somewhat informed and accurate,Confident,Once a day,"Yes, frequently",Strongly influence,Humanitarian concerns,No,Always,Yes,Maybe,Strongly influences,Actively support and regulate
12/3/2023 9:29:19,Male,16-24 Years,"150,000 - 199,999 PKR per month",5-6 hours per day,Occasionally Involved,Social media platforms,Moderate,Rarely verify before boycotting,Somewhat informed and accurate,Confident,Multiple times a day,"Yes, occasionally",Moderately influence,Humanitarian concerns,Yes,Often,Yes,Unsure,Somewhat influences,Actively support and regulate
12/3/2023 9:29:27,Male,16-24 Years,"30,000 - 59,999 PKR per month",1-2 hours per day,No Previous Involvement,Social media platforms,Very High,Always verify before boycotting,Somewhat informed and accurate,Very confident,Multiple times a day,"Yes, frequently",Strongly influence,Humanitarian concerns,No,Occasionally,Yes,Unsure,Somewhat influences,Actively support and regulate
12/3/2023 9:33:44,Female,16-24 Years,"100,000 - 149,999 PKR per month",1-2 hours per day,No Previous Involvement,Television broadcasts,Very High,Occasionally verify before boycotting,Somewhat informed and accurate,Neutral,Several times a week,"No, but I support the cause",Strongly influence,Humanitarian concerns,No,Occasionally,Yes,Maybe,Minimally influences,Actively discourage and regulate
12/3/2023 9:40:04,Male,16-24 Years,"60,000 - 99,999 PKR per month",3-4 hours per day,Occasionally Involved,News websites and portals,Very High,Always verify before boycotting,Somewhat informed and accurate,Very confident,Multiple times a day,"Yes, occasionally",Slightly influence,Humanitarian concerns,No,Always,Neutral,Yes,Somewhat influences,Actively support and regulate
12/3/2023 9:41:53,Male,16-24 Years,"150,000 - 199,999 PKR per month",3-4 hours per day,Occasionally Involved,Social media platforms,High,Always verify before boycotting,Very informed and accurate,Very confident,Multiple times a day,"No, but I support the cause",Do not influence,Humanitarian concerns,Not sure,Always,Doubtful,Yes,Minimally influences,Support but not regulate
12/3/2023 10:39:16,Male,16-24 Years,"60,000 - 99,999 PKR per month",7 or more hours per day,No Previous Involvement,Social media platforms,High,Often verify before boycotting,Somewhat informed and accurate,Neutral,Multiple times a day,"No, but I support the cause",Moderately influence,Social media influence,No,Rarely,Neutral,Unsure,Somewhat influences,Remain neutral
12/3/2023 11:50:29,Female,16-24 Years,"Less than 30,000 PKR per month",7 or more hours per day,Previously Involved,Social media platforms,High,Always verify before boycotting,Very informed and accurate,Confident,Multiple times a day,"No, but I support the cause",Moderately influence,Humanitarian concerns,No,Always,Yes,Unsure,Somewhat influences,Actively support and regulate
12/3/2023 12:29:36,Male,16-24 Years,"Less than 30,000 PKR per month",7 or more hours per day,Occasionally Involved,Social media platforms,High,Always verify before boycotting,Somewhat informed and accurate,Not very confident,Multiple times a day,"Yes, frequently",Strongly influence,Humanitarian concerns,No,Always,Somewhat,Yes,Strongly influences,Support but not regulate
12/3/2023 18:18:01,Female,16-24 Years,"Less than 30,000 PKR per month",7 or more hours per day,Occasionally Involved,Social media platforms,Very High,Occasionally verify before boycotting,Neutral,Confident,Multiple times a day,"Yes, occasionally",Strongly influence,Humanitarian concerns,No,Always,Yes,Yes,Strongly influences,Actively support and regulate
12/5/2023 5:27:27,Female,25-34 Years,"150,000 - 199,999 PKR per month",5-6 hours per day,Occasionally Involved,Social media platforms,High,Often verify before boycotting,Very informed and accurate,Confident,Multiple times a day,"Yes, frequently",Strongly influence,Humanitarian concerns,Yes,Always,Yes,Yes,Somewhat influences,Actively support and regulate
12/12/2023 2:09:51,Female,16-24 Years,"Less than 30,000 PKR per month",3-4 hours per day,Actively Involved,Social media platforms,Low,Always verify before boycotting,Very informed and accurate,Confident,Multiple times a day,"Yes, frequently",Strongly influence,Humanitarian concerns,No,Always,Yes,Maybe,Somewhat influences,Actively support and regulate
